titre,entreprise,ville,contrat,date_publication,categorie,description,lien
Responsable Atelier Mécanique,ACFI,Zone industrielle Diamniadio,CDD,2026-04-23,N/A,"Entreprise : ACFILieu : Zone industrielle DiamniadioÀ propos de ACFIACFI est une entreprise spécialisée dans la conception, fabrication et installation d’équipements industriels, notamment dans les secteurs des engrais, du convoyage et des procédés mécaniques.Nous développons des solutions adaptées aux réalités du terrain, avec une forte orientation production, robustesse et efficacité opérationnelle.Poste : Responsable AtelierACFI recrute un Responsable Atelier chargé de piloter la fabrication mécanique et d’assurer le respect des délais, qualité et productivité.Missions principales :Organisation et supervision de l’atelier (soudure, assemblage, fabrication)Planification de la production selon les projetsGestion des équipes (soudeurs, monteurs, techniciens)Contrôle qualité des fabricationsAppui à la conception (CAO)Lecture et validation des plansSuivi des délais et optimisation des ressourcesGestion des besoins en matériel et consommablesProfil recherché :Technicien confirmé ou Ingénieur en mécaniqueExpérience solide en fabrication métallique / mécaniqueMaîtrise de la lecture de plans (obligatoire)Compétences obligatoires en CAO (SolidWorks, Inventor ou équivalent)Bonne connaissance des procédés de fabrication (soudure, découpe, assemblage)Expérience en gestion d’équipe atelierExpérience en fabrication de machines agricoles (un atout)Qualités attendues :Leadership terrainRigueur et sens de l’organisationRéactivité et capacité à gérer la pressionEsprit pratique et orienté résultatsConditions :Type de contrat : (à définir)Rémunération : selon profilCandidature :EnvoyerCVà :contact@acfi.sn",https://www.emploidakar.com/offre-demploi/acfi-diamniadio-senegal-cdd-cdi-responsable-atelier-mecanique/
Lancement de la 6e Cohorte de Formation Humanitaire,Institut EHI,"Dakar, Sénégal",N/A,2026-04-23,N/A,"L’Institut EHI,la première école humanitaire en Afrique, lance en partenariat avec l’ONGMon Afrique a des rêves de France sa6 ème cohortede formation dans le secteur humanitaire.Nous sommes membres de la Plateforme des 85 ONG européennes au Sénégal (PFONGUE).Pourquoi se former avec nous ?Travailler dans les ONG est un secteur très recherché. Une formation qualifiante augmente considérablement vos chances d’intégrer ce milieu compétitif. Nos étudiants acquièrent une expérience concrète en se formant aux côtés de professionnels reconnus et deviennent des experts et consultants internationaux pour des programmes humanitaires.Nos formations couvrent des domaines essentiels tels que :Coordination de programmes humanitairesConsultant indépendant analyse de données pour les grandes ONGs internationalesSpécialiste et consultant international enFundraisinget Financement participatif (Crowdfunding)Spécialiste et consultant international de la logistique humanitaireMEAL et consultant international (Suivi, Pilotage et Évaluation) de projets de développement durableExpert-consultant international de programme humanitaireUn Secteur en Pleine CroissanceL’Afrique manque cruellement de formations certifiantes en humanitaire. Notre institut propose des certifications d’écoles, en partenariat avec des associations Loi 1901 en France, spécialisées dans les défis globaux :Crises nutritionnelles et climatiquesAccès à l’eau, santé et développement durableLutte contre la pauvreté et l’émigration clandestineQHSE (Qualité, Hygiène, Sécurité, Environnement) et innovation solidaireDébouchés ProfessionnelsNos formations vous préparent aux métiers de l’humanitaire et vous accompagnent pour postuler auprès d’organisations de renom :ONU, UNICEF, Save the Children, Action Contre la Faim, UNESCO, etc.Plateformes internationales spécialisées, commewww.emploihumanitaire.orgNos Atouts ClésInterventions de professionnels et experts internationaux.Aide à la rédaction de CV et préparation aux entretiens d’embauche.Accompagnement vers des stages au sein de grandes ONGComment postuler ?Remplissez le formulaire sur notre plateformewww.emploihumanitaire.orget notre service RH vous contactera sous 48h maximum pour un entretien.Formez-vous dès maintenant et construisez une carrière engagée avec les ONG !www.emploihumanitaire.org",https://www.emploidakar.com/offre-demploi/institut-ehi-dakar-senegal-prestation-de-services-lancement-de-la-5e-cohorte-de-formation-humanitaire/
Clinical Trial Coordinator (Consultancy),Medical Research Council The Gambia,"Dakar, Senegal (with travel to Northern Senegal and The Gambia)",CDD,2026-04-23,N/A,"We’re Hiring: Clinical Trial Coordinator (Consultancy).The Medical Research Council Unit The Gambia at the London School of Hygiene & Tropical Medicine is seeking an experienced Clinical Trial Coordinator to support a Phase 1/2a Rift Valley Fever (RVF) vaccine trial in collaboration with the Coalition for Epidemic Preparedness Innovations and Institut Pasteur Dakar.Location :Dakar, Senegal (with travel to Northern Senegal and The Gambia)Duration :18 months (with potential extension)About the RoleYou will coordinate clinical trial activities across multiple sites, ensuring high-quality study conduct and effective stakeholder engagement.Key ResponsibilitiesCoordinate clinical trial operations across sitesEnsure compliance with ICH-GCP standardsLiaise with MRCG, IPD, and investigator teamsMonitor timelines, risks, and study performanceLead reporting, documentation, and communicationsRequirementsMedical degree with clinical trial experienceStrong project and stakeholder management skillsFluency in French & English (mandatory)Experience in resource-constrained settingsKnowledge of clinical trial operations and GCPTerms of Reference (ToR)Access the full ToR hereHow to ApplySend your application (Technical Proposal, Financial Proposal, CV, and references) to:tender@mrc.gmCopy:bintou.sumareh@lshtm.ac.ukandadrameh.gaye@lshtm.ac.ukDeadline :26 April 2026 (23:59 GMT)",https://www.emploidakar.com/offre-demploi/medical-research-council-the-gambia-dakar-senegal-with-travel-to-northern-senegal-and-the-gambia-cdd-clinical-trial-coordinator-consultancy/
Agent Administratif,Nations Unies,"Dakar, Sénégal",CDD,2026-04-23,N/A,"This position is located in the Office of the Chief of Mission Support (CMS) within the United Nations Office for West Africa and the Sahel (UNOWAS), duty station Dakar, Senegal. As the principal advisor and direct support to the Chief of Mission Support, the Administrative Officer also serves as Head of the Supply and Facilities Management Unit for both UNOWAS and the Cameroon-Nigeria Mixed Commission (CNMC). In this dual capacity, the Administrative Officer plays a central role in ensuring the effective management of mission support operations, supply chain, and facilities services across all locations.The Administrative Officer contributes to the implementation of the mission mandate by providing professional, logistical and administrative support required for the fulfilment of the mandate. The incumbent’s responsibilities extend to UNOWAS and CNMC field offices operating across three countries, requiring close coordination with diverse mission components and external stakeholders. This includes regular engagement with government officials, UN agencies, funds and programmes in mission areas, as well as collaboration with colleagues at UN Headquarters.RequirementsAdvanced university degree (Master’s degree or equivalent) in business or public administration, management, finance, economics, accounting, law or related area. A first-level university degree in combination with qualifying experience may be accepted in lieu of the advanced university degree.A minimum of seven years of progressively responsible experience in administration, budget, finance, accounting, human resources management, or related field is required. Experience working within the UN system is desirable. Knowledge of IPSAS and UMOJA is desirable.English and French are the working languages of the United Nations Secretariat. For this job opening, English and French are required. The table below shows the minimum required level for each skill in these languages, according to the UN Language Framework.Deadline : 22 May 2026",https://www.emploidakar.com/offre-demploi/nations-unies-dakar-senegal-cdd-agent-administratif/
Administrateur Ressources Humaines DESK,ALIMA,"Dakar, Sénégal",CDI,2026-04-23,N/A,"Mission principaleAssurer la fiabilité et la fluidité du parcours administratif et opérationnel des expatriés du Desk, en garantissant la qualité des données RH, le respect des échéances clés et une expérience claire et sécurisée pour les collaborateurs, dans un environnement multiculturel exigeant.Activités principalesGestion et sécurisation contractuelle administrativeConstituer le dossier du personnel expatrié et vérifier leur complétude dès la validation du recrutement en centralisant une liste de documents préétablie; communiquer aux salarié.e.s les informations nécessaires à la création du contrat et à  la souscription  à l’assurance santéÉlaborer les contrats de travail, les avenants en conformité avec les éléments validés (postes, conditions, dates) et les faire signer dans les 72 heures avant la date de début du contrat ou avant la fin du contrat en cours, les documents de rupture de contrat à l’amiable etc.  et les faire signer avant la date de rupture de contratAssurer la signature des documents contractuels dans les délais requis (avant prise de fonction ou échéance contractuelle)Contrôler la cohérence et la fiabilité des informations contractuelles et administrativesAssurer une révision fiable des fiches de salaire en fin d’année dands le respect des délais et procédures en collaboration avec sa/son Référent.e RH.Assurer le suivi des preuves de vie (s’assurer que chaque expatrié a transmis sa preuve de vie au début de sa mission)Procéder aux formalités liées à la souscription d’assurance santé pour chaque personnel International terrain dès la signature de son contrat et s’assurer que l’expatrié a reçu d’ALLIANZ toutes les informations nécessaires liées à sa prise en charge santé (carte d’assurance etc.)Identifier toute incohérence ou anomalie dans le processus de déploiement de l’expatrié et alerter le/le Référent(e) RH dans les meilleurs délaisOrganiser et coordonner les briefings et débriefings des expatriés (au siège ou à distance)Tenir informé les Coordinateurs finances/RH, les Chefs de Mission, les Coordinateurs logistiques les assistants RH sur le terrain de l’arrivée des nouveaux expatriésOrganisation et suivi des déploiements et mouvementsOrganiser les départs en mission (visa, transport, hébergement, documents de mission) dans le respect des délaisAssurer le suivi des mouvements du personnel (prise de poste, renouvellement, fin de mission)Préparer et transmettre les  documents nécessaires aux déplacements et à la prise de fonctionPréparer et faire valider les engagements de dépenses liés aux frais financiers engendrés par les départs en mission  des expatriés et à leur fin de missionAnticiper les échéances de déploiement et alerter le/la Référent (e) RH en cas de risque de retard ou de blocageAssurer la mise à jour des outils de suivi des mouvements du personnelCoordonner avec les acteurs concernés (terrain, logistique, desk) pour garantir la fluidité des déploiementsCoordination des fins de missions et SDTCAssurer la préparation des fins de mission en coordination avec les acteurs concernés (terrain, desk, paie) dès qu’elle a l’information du non renouvellement de contrat d’un expatriéVérifier la disponibilité de l’ensemble des éléments nécessaires à l’établissement du solde de tout compteÉtablir et transmettre les documents de fin de contrat dans les délais requisS’assurer de la complétude et de la fiabilité des informations transmises à la paieSuivre le traitement et le paiement des soldes de tout compte en lien avec la paieIdentifier les retards, incohérences ou blocages dans le traitement des SDTC des expatriés et alerter le /la  Référent(e) RHAssurer la désactivation  ALLIANZ de l’expatrié un mois après sa fin de missionFiabilisation des données RH, gestion de l’interface avec le service paie et production des reportings pour le suivi de l’activité.Collecter, centraliser, et vérifier les données RH nécessaires à la paie (contrats, mouvements, etc.)Contrôler la complétude, la cohérence et la fiabilité des informations avant leur transmissionIdentifier les écarts ou incohérences et effectuer les relances nécessaires auprès des interlocuteurs concernés (terrain, desk)Assurer une transmission des données dans les délais compatibles avec le calendrier de paieCoordonner avec la gestionnaire de paie pour sécuriser la prise en compte des éléments transmisSuivre les dossiers jusqu’à leur traitement effectif et gérer les corrections si nécessaireAlerter le / la Référent(e) RH en cas de dysfonctionnement ou de risque impactant la paieAccompagnement et information des expatrié.e.sFournir aux expatrié.e.s une information claire, cohérente et fiable à chaque étape de leur parcours (départ, mission, fin de mission)Répondre aux demandes ou orienter efficacement vers les interlocuteurs appropriésS’assurer que les informations transmises sont comprises et adaptées à un environnement multiculturelAnticiper les besoins d’information et limiter les zones d’incertitude pour les expatriésVeiller à ne laisser aucune demande sans réponse, même en cas de dépendance à d’autres servicesContribuer à une expérience fluide et sécurisante pour les expatriésProfil et expérience souhaitésDiplôme Bac à Bac +3 en Gestion, Administration, Finances, RH, ou formation jugée équivalente.Minimum 2 années d’expérience dans un environnement opérationnel exigeant .Expérience en gestion de mobilité internationale, coordination RH ou logistique de personnelExpérience dans un environnement à forte contrainte de délais et de volumeCompétences techniquesBonne maîtrise des outils informatiques (G-Suite e).Bonne compréhension des processus RH (contrats, mobilité, fins de missions)Capacité à gérer et fiabiliser des données RH complexesConnaissance des enjeux de paie et interactions avec un service paieConnaissance du droit du travail français est un atout​Compétences comportementaleRigueur : capacité à traiter des données avec précision et fiabilitéSens du service : attention portée à la qualité de l’expérience des expatriésAssertivité : capacité à relancer, coordonner et faire avancer les dossiers sans autorité hiérarchiqueOrganisation et gestion des priorités dans un environnement à forte chargeCapacité à évoluer dans un environnement multiculturelProactivité dans l’identification et la résolution des problèmesConnaissances en langues :La maîtrise du français et de l’anglais (lu, écrit, parlé) est indispensableConditionsDurée du contrat : Contrat à durée indéterminée de droit sénégalaisPrise de poste : Dès que possibleSalaire : 611 293 FCFAContribution frais de transport à 72 032 FCFA2,75 Jours de congés payés par Mois ;Couverture santé complémentaire, prises en charge par ALIMA pour l’employé et ses ayants droit;Participation aux frais de scolarité pour les enfants de 2 à 18 ans selon la politique extra contractuelle d’ALIMA en vigueur.",https://www.emploidakar.com/offre-demploi/alima-dakar-senegal-cdi-administrateur-trice-rh-desk/
Contrôleur Interne – Projets,Institut Pasteur de Dakar,"Dakar, Sénégal",CDD,2026-04-23,N/A,"Titre : Contrôleur Interne – ProjetsRéférence : CONTINT/DCI/IPD2026Département : Direction Contrôle Interne – ProjetsN+1 : Directeur Contrôle InterneLieu : Campus/DakarContrat : CDD 12 moisDeadline : 29 avril 2026Début souhaité : Juin 2026À propos de l’InstitutL’Institut Pasteur de Dakar (IPD) est une fondation d’utilité publique sénégalaise dédiée à la santé publique, la recherche, l’innovation et l’éducation en Afrique. Depuis sa fondation en 1896, l’institut n’a cessé de se développer pour le bénéfice des populations et est aujourd’hui spécialisée dans les 5 domaines suivants :Recherche & DéveloppementDiagnostic, vaccination, alimentation et environnementÉducation, formation et développement des talentsExpertise et orientation stratégique en santé publiqueProduction et distribution de vaccins et de dispositifs médicauxDe manière unique, l’IPD rassemble ainsi des capacités et des fonctions clés pour relever les défis de santé publique et les menaces mondiales et joue un rôle régional important dans ses partenariats avec l’OMS et la lutte contre les maladies infectieuses.A l’IPD, nous inspirons, nous éduquons et nous attirons des Femmes et des Hommes de sciences passionnés et visionnaires pour développer des solutions significatives et efficaces aux problèmes de santé publique en Afrique ! Notre Ambition est de diriger, influencer et améliorer la santé humaine, chaque jour, de manière sûre et durable.Si vous avez l’esprit Pasteurien, comme nous, Rejoignez-Nous !Activités du posteDans le cadre du renforcement du dispositif de contrôle interne et des exigences croissantes des partenaires techniques et financiers en matière de conformité et de transparence, l’IPD recrute un Contrôleur Interne dédié aux projets.Ce poste vise à sécuriser la gestion des opérations, à garantir le respect des procédures internes et contractuelles, et à renforcer la crédibilité de l’institution auprès de ses bailleurs de fonds.Mission généralePlacé sous l’autorité du Directeur du Contrôle Interne, le Contrôleur Interne Projets est chargé d’assurer la mise en œuvre et le suivi du dispositif de contrôle interne au sein des projets portés par l’IPD. Il veille à la conformité des opérations avec les procédures internes de l’institution et les exigences contractuelles des partenaires financiers.Activités principalesContrôle de la conformité et des procéduresVérifier la conformité des opérations des projets aux procédures internes de l’IPD et aux règles des bailleurs de fondsContrôler la régularité et la sincérité des pièces justificatives (dépenses, marchés, contrats)S’assurer que les autorisations et validations requises sont obtenues avant toute opérationIdentifier les écarts et non-conformités et en assurer le reportingGestion des risques et traçabilitéContribuer à l’identification, l’évaluation et la cartographie des risques liés aux projetsVeiller à la traçabilité complète des opérations financières, administratives et logistiquesProposer des mesures correctives et préventives pour réduire l’exposition aux risquesParticiper à la mise à jour du registre des risques projetsSuivi et reportingÉlaborer des rapports périodiques de contrôle interne à destination du Directeur du Contrôle InterneSuivre la mise en œuvre des recommandations formulées à l’issue des missions de contrôlePréparer les éléments de réponse aux demandes d’audit externe (auditeurs bailleurs, commissaires aux comptes)Alimenter les tableaux de bord de suivi du contrôle interne des projetsAccompagnement et renforcement des capacitésSensibiliser et former les équipes projets aux procédures internes et aux exigences des partenairesAppuyer les chefs de projets dans l’application correcte des règles de gestionDiffuser les bonnes pratiques en matière de gouvernance, de transparence et de conformitéContribuer à l’amélioration continue des outils et procédures de contrôle interneProfil recherchéFormationNiveau de qualification ou compétences requises :Avoir un Master en Comptabilité Contrôle Audit ou diplôme équivalentAvoir au moins 5 ans d’expérience dans le domaine du contrôleCompétences techniques :Maîtrise des outils bureautiques et des procédures de gestion administrativesMaîtrise des risques et procédures : Capacité à identifier, évaluer et cartographier les risques, ainsi qu’à concevoir des procédures de contrôle interneConnaissance financière et comptable approfondieAnalyse de données :Utilisation d’Excelet d’outils informatiques/logiciels métiersVeille réglementaire : Capacité à se tenir à jour sur les normes et exigences de conformitéQualités personnelles :Rigueur, sens de l’organisation et souci du détailIntégrité, discrétion et respect de la confidentialitéCapacité d’analyse, esprit critique et force de propositionCapacité à améliorer ses performances et celles du système de manière continueAptitude à travailler de manière autonome tout en s’intégrant dans une équipeBonnes aptitudes relationnelles et pédagogiques pour l’accompagnement des équipesCapacité à gérer les priorités et à travailler sous pression dans des délais serrésSens de la communication et fiabilitéAptitude à communiquer en anglaisL’institut Pasteur de Dakar est un employeur de référence qui propose des conditions de travail favorables à l’épanouissement professionnel.Si vous êtes intéressé, vous pouvez postuler en envoyant votreCVà l’adressetalents@pasteur.snet y ajoutant en objet la référence : CONTINT/DCI/IPD2026 avant le 29 avril 2026.Du fait de la quantité des candidatures, seuls les candidats shortlistés seront contactés.",https://www.emploidakar.com/offre-demploi/institut-pasteur-de-dakar-dakar-senegal-cdd-controleur-interne-projets/
Chef de Chantier Ferme Mécanique Statut : Pépinière – Cat :M5,Compagnie Sucrière Sénégalaise,"Richard-Toll, Sénégal",CDI,2026-04-23,N/A,"Missions du posteLe titulaire du poste a pour mission principale d’organiser et de superviser les opérations de mélanges d’engrais.Il aura entre autres missions de :Préparer les ordres de mission, et les bons de sorties du magasin en fonction du programme (parcelles à traiter, superficie et dose à épandre) ;Mettre en place l’équipe de manœuvres chargée du mélange des engrais ;Mettre en place la rotation des bennes engrais entre le magasin et les chantiers ;Rappeler les normes et le programme du jour ;Contrôler la bonne mise en place du chantier ;Contrôler l’uniformité d’épandage d’engrais dans les sillons, faire apporter les corrections nécessaires ;Organiser et contrôler le travail d’épandage manuel d’appoint des manœuvres (côté canal) ;Surveiller la vitesse d’avancement des tracteurs, les réglages et le travail au champ ;Contrôler la recharge en engrais des épandeurs ;Contrôler le calibrage des épandeurs (le chef d’équipe effectue le calibrage à l’arrivée au chantier, le chef de chantier fait un contrôle du calibrage à mi-journée vers 11h).Compétences techniques requises :Maîtrise Normes et bonnes pratiques agricolesMaîtrise Technique d’épandage d’engraisBases en mécanique (entretien, petites réparations).Compétences générales requises :Organisation et rigueur,Vigilance et sens de la sécurité ;Esprit d’équipe.Niveau d’étude et Expérience :Diplôme de technicien en machinisme agricole (agroéquipement)Un stage significatif en production agricole mécanisée serait un atout",https://www.emploidakar.com/offre-demploi/compagnie-sucriere-senegalaise-richard-toll-senegal-cdi-chef-de-chantier-ferme-mecanique-statut-pepiniere-cat-m5/
Responsable Développement Formation Continue,RMO Sénégal,"Dakar, Sénégal",CDD,2026-04-23,N/A,"MissionsÉlaborer et piloter le plan d’action commercial ;Définir les cibles et planifier les actions de prospection ;Promouvoir l’offre du centre, développer sa notoriété et son image ;Développer et entretenir des relations avec les entreprises, les financeurs et les prescripteurs ;Prospecter les entreprises du secteur de l’industrie agroalimentaire sur l’ensemble du territoire ;Identifier les besoins des entreprises et proposer des solutions de formation adaptées ;Élaborer les propositions commerciales et négocier les contrats ;Assurer la commercialisation des actions de formation ;Accompagner les entreprises dans la définition de leurs plans de formation et des dispositifs de financement ;Assurer une veille marché (besoins, concurrence, réglementation) et remonter les informations à la direction.CandidatureEnvoyez votre CV àrecrutement@rmo.snen indiquant en objet du mail : Responsable Développement Formation Continue",https://www.emploidakar.com/offre-demploi/rmo-senegal-dakar-senegal-cdd-responsable-developpement-formation-continue/
Acheteur Sénior,Société de Cultures Légumières (SCL),"Saint-Louis, Sénégal",CDD,2026-04-23,N/A,"La Société de Cultures Légumières (SCL), située à 2 km du barrage de Diama, au nord du Sénégal dans la région de Saint-Louis, exploite 1.500 hectares répartis sur 3 sites. Elle emploie 1.250 travailleurs sous contrat et entre 2000 et 6.000 travailleurs journaliers selon les périodes de l’année.Son modèle économique est basé sur la production, le conditionnement et l’exportation des légumes frais, majoritairement du maïs doux et du haricot vert.Pour le renforcement de ces capacités dans le domaine des achats, la SCL recrute unAcheteur Sénior (H/F)expérimenté pour mieux répondre aux exigences de l’entreprise. Ce poste à fort potentiel évolutif, couvre le portefeuille stratégique des intrants agricoles et le conditionnement.Missionsstratégiques et opérationnelles :Gestion du portefeuille stratégique :Piloter un panel de fournisseurs critiques pour la production (matières premières agricoles, emballages techniques, outillages spécifiques) ;Élaborer et mettre en œuvre les stratégies d’achats par catégorie.Analyse de marché et sourcing :Réaliser une veille permanente sur la volatilité des cours des matières premières agricoles et les innovations packaging ;Identifier et qualifier de nouvelles sources d’approvisionnement.Négociation et contractualisation de haut niveau :Piloter les appels d’offre complexes et les RFQ ;Négocier des contrats cadres intégrant des clauses de performances (qualité, délai, flexibilité indexation prix) ;Mettre en place des outils de couverture de risques prix/volume) pour sécuriser les marges de l’entreprise.Pilotage de performance et gestion du cycle de vie fournisseur :Développer et suivre les KPI achats, être le garant du processus Procure-to-Pay et la résolution des litiges complexes (techniques ou financier) en interface avec la comptabilité et les magasins ;Proposer des axes d’amélioration continue pour réduire les coûts cachés et optimiser les stocks.Dimension évolutive et management de transition :Rapport stratégique: être le bras droit du Directeur des Achats dans la préparation des grosses commandes, revues budgétaires et des rapports Direction Générale ;Participer activement à l’optimisation de l’ERP et la digitalisation de la fonction achat.Profil recherché/Compétences requises :Être titulaire d’une Licence 3 ou plus de Gestion et commerce avec spécialisation Achat / Supply Chain, avec une expérience de 02 ans au minimum au poste d’acheteur confirmé.Être motivé, rigoureux, fort en négociation et aime les défis, avoir le sens de l’éthique, de la communication et du relationnel.",https://www.emploidakar.com/offre-demploi/societe-de-cultures-legumieres-scl-saint-louis-senegal-cdd-cdi-acheteur-senior/
Chargé Lots Techniques Junior,Sablux,"Dakar, Sénégal",CDD,2026-04-23,N/A,"Rattaché à l’Ingénieur Senior Lots Techniques, vous intervenez sur l’ensemble des lots techniques du bâtiment, couvrant à la fois les installations électriques (CFO/CFA) et les réseaux fluides (CVC, plomberie, désenfumage). Vous assurez la modélisation BIM sous Revit MEP et la production des plans lots techniques, en garantissant la cohérence inter-lots et la qualité des livrables à chaque phase du projet.Profil recherchéBac +2 / Bac +3 en Génie Électrique, Génie Climatique, Énergétique du Bâtiment ou équivalent (DUT Génie Civil option Énergie, BTS Électrotechnique / Fluides)Débutant accepté avec maîtrise de Revit MEP. Expérience BIM (stage ou projet académique) couvrant l’un ou les deux lots techniques fortement valorisée.CompétencesMaîtrise de Revit MEP (impératif) et d’AutoCAD ;Bonne compréhension du processus BIM et de la coordination multi-lots ;Connaissances de base en électricité bâtiment (CFO/CFA) : chemins de câbles, tableaux, luminaires ;Notions solides en CVC et plomberie : réseaux fluides, gainage, tuyauterie, désenfumage ;Notions des normes applicables : NF C 15-100 (électricité), NF/ASHRAE (fluides) ;Capacité à exploiter les maquettes BIM (quantitatifs, réservations, extractions, clash detection) ;Rigueur, sens du détail et organisation dans la gestion simultanée de plusieurs lots ;Esprit d’équipe, communication fluide et capacité d’apprentissage rapide.",https://www.emploidakar.com/offre-demploi/sablux-dakar-senegal-cdd-cdi-charge-lots-techniques-junior/
