titre,entreprise,localite,categorie,date_publication,date_expiration,description,email,lien
Technicien Soufflage,groupe-topinter,Dakar (seneg...,"Maintenance, Entretien, Contrôle | Industrie Manufacturière, Production, Fabrication",2026-04-21,2026-05-20,"Missions•	Installer, régler et contrôler les machines de soufflage pour assurer une production optimale•	Surveiller le processus de production et ajuster les paramètres pour garantir la qualité des produits•	Réaliser la maintenance préventive et corrective des équipements•	Collaborer avec l’équipe de production pour améliorer les procédés et résoudre les problèmes techniquesProfil•	BTS en automatisme ou électromécanique•	Expérience confirmée dans le domaine du soufflage•	Bonne maîtrise des techniques de production et des normes de sécurité•	Capacité à diagnostiquer rapidement les problèmes et à proposer des solutions•	Esprit d’équipe, organisation et autonomie•	Sens de l’observation pour anticiper les anomalies",grc@groupe-topinter.com,https://senjob.com/sn/jobseekers/technicien-soufflage_e_161466.html
COMMERCIAL VSR,groupe-topinter,Dakar (seneg...,"Commercial, Vente, Business developpement | Distribution, Commerce, Import-Export",2026-04-21,2026-05-20,"Missions Principales: vente de produits alimentaires et d'autres types de produitsProspection active : Identification et démarchage de nouveaux clients (prospection téléphonique ou porte-à-porte)Vente et Négociation : Présentation des produits/services, démonstration, traitement des objections et négociationProfil RecherchéFormation : Bac+2 minimum en commerce/marketing ou expérience équivalenteCompétences : Maîtrise des techniques de vente, excellente communication, et aisance en négociationQualités : Goût du challenge, autonomie, résilience (gestion du refus), et dynamisme",grc@groupe-topinter.com,https://senjob.com/sn/jobseekers/commercial-vsr_e_161465.html
Développeur Fullstack Java/Vue js,N/A,Dakar,"Informatique, Télécoms, Réseaux | Industrie Informatique, Télécoms, Téléservices",2026-04-01,2026-04-30,"Description de l'entrepriseImplantée à Dakar, ALTEN Sénégal est la filiale du groupe ALTEN, leader mondial de l’ingénierie et du conseil en technologies. Elle joue aujourd’hui un rôle clé dans l’accompagnement du développement professionnel des ingénieurs en Afrique de l’Ouest, et accompagne la stratégie de développement de ses clients dans les domaines de l’innovation et des systèmes d’information technologiques.Notre mission : répondre aux ambitions technologiques de nos clients — grands donneurs d’ordre internationaux — dans les secteurs de l’automobile, du ferroviaire, de l’IT, des télécommunications et des médias.Rejoindre ALTEN Sénégal, c’est intégrer un écosystème d’excellence et bénéficier :• D’un parcours de carrière personnalisé et évolutif• D’une politique ambitieuse de développement des compétences• D’un environnement de travail stimulant, collaboratif et porteur de sensDescription du posteAu sein de la Digital Factory Marchandise, Commercial & Links, le consultant interviendra sur la conception et le développement d’applications Full Stack.Ses principales missions :Développement et maintenance d’applications Full Stack (Java / Spring Boot / Vue.js)Conception et développement d’API REST sécuriséesImplémentation d’architectures microservicesDéveloppement d’interfaces dynamiques en Vue.js (Composition API)Intégration et consommation d’API côté frontMise en œuvre des principes DDD, Clean Architecture et SOLIDParticipation aux phases de conception, développement, tests et mise en productionContribution à l’amélioration continue et à la qualité logicielleQualificationsDiplômé(e) d'un Bac + 5 en InformatiqueExpérience : 3 à 7 ans d’expérience en développement Java / Vue.js.Compétences requises :Spring BootVue.jsAPI RESTMicroservicesBases de données SQL / NoSQLDocker / KubernetesCI/CD (GitLab CI/CD)Tests unitaires (JUnit, Mockito)Tests front (Vue Test Utils)DDD / Clean ArchitectureMéthodologie Agile / Scrum",N/A,https://senjob.com/sn/jobseekers/développeur-fullstack-java-vue-js_e_161149.html
04 Assistant(e)s Techniques SAME (MATAM),N/A,matam,"Administration, Services généraux | Qualité, Sécurité, Environnement | Ingénierie, Etudes, Projets, Recherche | Organisation non gouvernementale, Association | Energie, Eau, Environnement",2026-04-24,2026-05-15,"NOM Assistant (e) technique ClimateRiceRÔLE Assistant.e TechniquesNIVEAU DE CONTRIBUTION V7MISSION SénégalBASE MatamDOMAINE Production /Mise en œuvre de projetsDEPARTMENT Mise en œuvre Projets MissionsCATÉGORIE PROFESSIONELLE Assistants(es) / Adjoints terrainACCOMPAGNÉ(E) NonGESTION D'ÉQUIPE NonBUDGET SNDKF0X0 - Dakar. Finanzas MisionesSUPERVISEUR  Chef de projetEXPLICATION DE CONTEXTEAction Contre la Faim met en œuvre au Sénégal des programmes visant à renforcer la résilience des communautés face à l’insécurité alimentaire, en intégrant de plus en plus les enjeux liés au changement climatique et à la durabilité des systèmes de production. Dans ce cadre, le projet ClimateRice vise à promouvoir des pratiques de riziculture durable dans la vallée du fleuve Sénégal, notamment à travers le développement du Système de Riziculture Intensive (SRI), permettant d’améliorer la productivité tout en optimisant l’utilisation de l’eau et en réduisant les émissions de gaz à effet de serre.Le projet s’inscrit également dans une approche innovante visant à explorer et développer des mécanismes de financement climatique, en particulier les crédits carbones, en partenariat avec des acteurs techniques et institutionnels tels que la SAED et CarbonFarm. Cette phase pilote constitue une étape clé pour tester la faisabilité technique et opérationnelle de ces approches, avec une perspective de mise à l’échelle à plus grande échelle en cas de résultats probants.ACCIÓN CONTRA EL HAMBRERÉSUMÉ DE JOB PROPOS GÉNÉRALL’Assistant(e) Technique appuie la mise en œuvre du projet Climate Rice en accompagnant les producteurs et productrices dans l’adoption des pratiques du Système de Riziculture Intensive (SRI), notamment les techniques de gestion optimisée de l’eau (AWD).Il/elle contribue au changement de pratiques agricoles à travers un appui technique de proximité et favorise l’engagement des acteurs communautaires. En collaboration avec le/la Chef(fe) de Projet, il/elle assure la collecte et la transmission des données du projet, notamment dans le cadre du système de suivi, rapportage et vérification (MRV).Il/elle travaille en lien étroit avec les partenaires (SAED, ANCAR, collectivités, organisations de producteurs) afin de garantir une mise en œuvre efficace et coordonnée du projet.FONCTIONS ET RESPONSABILITÉS PRINCIPALESObjectif 1: Assurer la représentation d’ACF auprès des partenaires locauxParticiper aux réunions de coordination avec les partenairesAssurer une collaboration étroite avec les acteurs communautaires et institutionnelsSensibiliser les producteurs et productrices aux objectifs du projet et favoriser leur adhésionPromouvoir la participation active des femmes et des jeunesObjectif 2: Assurer l’accompagnement technique des producteurs et productrices de riz• Participer à l´identification des producteurs et productrices et appuyer la formalisation des accords de participation au projet• Former et accompagner les producteurs sur les pratiques du SRI (repiquage, gestion de l’eau/AWD, fertilisation, etc.)• Assurer le suivi régulier des parcelles et appuyer la mise en œuvre des activités• Contribuer à la planification et à l’exécution des activités communautaires• Superviser les producteurs et productrices dans l’adoption de bonnes pratiques culturales du SRI (Planage, Semis, repiquage, désherbage, épandage d’amendement organique, gestion de la lame d’eau…)• Participer aux actions de sensibilisation sur la pratique SRI (radios, sessions communautaires)• Anticiper tout problème lié à la mise en œuvre des activités sur le terrain et participer à l´identification de solutions dans les meilleurs délaisObjectif 3 :Appuyer le Suivi, l’évaluation et capitalisation du projet Asurer le suivi opérationnel des activités et la mise à jour des plannings d’activités ;• Contribuer à la qualité, la collecte, la transmission des données (MRV) et l’archivage Participer au reporting (hebdomadaire, mensuel)• Appuyer le système de suivi-évaluation en lien avec le MEAL Officer Participer aux réunions de projet et aux cadres de concertation  *• Contribuer à la mise en place du mécanisme de redevabilité communautaire Réaliser toute autre tâche demandée par le management du projet.PROCESS MP2.1-P3 - ExecutionBESOINS DU POSTE COMPÉTENCESTravail en équipe Motivation Organisation et planification Communication efficace et synthèse Capacité d'analyse Négociation Orientation aux résultats Analyse et résolution des problèmes/conflitsCOMPÉTENCES, CONNAISSANCES ET AUTRES REQUIS-Bac +3/4 en Agronomie, Génie Rural, développement communautaire, Climatologie, Changement Climatique et Développement Durable, Economie Rurale, Environnement ou toute autre discipline équivalente.-Au moins 2 à 3 ans d’expérience dans la mise en œuvre ou l’animation de projets de développement, notamment dans les domaines de la sécurité alimentaire, du développement rural, du changement climatique ou des activités génératrices de revenus-Titulaire d’un permis pour la conduite de moto (obligatoire)-Bonne compréhension du cycle de gestion de projet.-Des enjeux liés au genre et au changement de pratiques (approches comportementales)  y-Bonne capacité de communication, d’animation et de facilitation communautaire-Bonnes capacités d’analyse et de rédaction ;-Maîtrise des outils informatiques et bureautique.-La maitrise des outils numériques de collecte de données est un atout-Connaissance des organisations paysannes et des dynamiques communautaires-Connaissance des principes d’agroécologie et des systèmes agricoles irrigués (idéalement riziculture)-Expérience dans un projet agricole, idéalement en lien avec la riziculture-Expérience en formation, accompagnement et encadrement de producteurs ou d’équipes multidisciplinaires et dans l’accompagnement des organisations paysannes ou faitières-Expérience dans des projets impliquant un changement de pratiques (agricoles ou communautaires)-Expérience de travail dans la région de Matam ou dans un contexte similaire-Bonne capacité d’organisation, de planification et sens de la rigueur-Capacité d’adaptation et flexibilité dans un environnement de travail dynamique.-Aptitude à travailler en équipe et à contribuer à un bon climat de travail-Capacité à travailler de manière autonome, avec esprit d’initiative-Bonne résistance au stress et capacité à gérer la pression ;-Capacités de communication, de médiation et de résolution de conflits-Capacité à évoluer dans un environnement multiculturel et multidisciplinaire-Intérêt pour l’apprentissage continu et le renforcement de ses compétencesENGAGEMENTS ENVERS L'ÉGALITÉ DES GENRES ET LA TOLÉRANCE ZÉRO AUX ABUSLe/la titulaire du poste est tenu(e) d’adopter un comportement conforme aux principes éthiques de l’organisation, de signaler toute situation de risque ou de violation et de contribuer à la création d’un environnement de travail sûr, respectueux et inclusif.",N/A,https://senjob.com/sn/jobseekers/04-assistant-e-s-techniques-same--matam-_e_161530.html
CHEF DE SECTEUR JUNIOR,groupe-topinter,dakar senega...,"Commercial, Vente, Business developpement | Industrie Agro-alimentaire",2026-04-08,2026-04-29,"II.	MISSION PRINCIPALELe Chef de secteur Junior assure l’exécution commerciale quotidienne sur un portefeuille de points de vente prédéfini.Il visite ses clients selon un routing fixe, garantit la disponibilité du produit, la visibilité en point de vente et développe la vente additionnelle. Il exécute les directives commerciales et garantit une présence, une visibilité et une activation des produits conformes aux standardsMISSIONSExécution Commerciale et Vente AdditionnelleSuivi des Points de Vente et du MatérielActivation et Visibilité TerrainProfilBTS Technico-commercial, Bac+2/3 en Commerce International, MarketingExpérience professionnelle souhaitée2 ans d’expérience dans un poste similaireMobilité Horizontale : Représentant Commercial, Commercial CHR/GMS,Mobilité verticale : Chef des Ventes",grc@groupe-topinter.com,https://senjob.com/sn/jobseekers/chef-de-secteur-junior_e_161260.html
Responsable de Compétences (RC),alten,Dakar,"Informatique, Télécoms, Réseaux | Industrie Informatique, Télécoms, Téléservices",2026-04-08,2026-04-30,"Description de l'entrepriseImplantée à Dakar, ALTEN Sénégal est la filiale du groupe ALTEN, leader mondial de l’ingénierie et du conseil en technologies. Elle joue aujourd’hui un rôle clé dans l’accompagnement du développement professionnel des ingénieurs en Afrique de l’Ouest, et accompagne la stratégie de développement de ses clients dans les domaines de l’innovation et des systèmes d’information technologiques.Notre mission : répondre aux ambitions technologiques de nos clients — grands donneurs d’ordre internationaux — dans les secteurs de l’automobile, du ferroviaire, de l’IT, des télécommunications et des médias.Rejoindre ALTEN Sénégal, c’est intégrer un écosystème d’excellence et bénéficier :• D’un parcours de carrière personnalisé et évolutif• D’une politique ambitieuse de développement des compétences• D’un environnement de travail stimulant, collaboratif et porteur de sensDescription du posteEn tant que Responsable de Compétences vous serez au cœur de notre dynamique de croissance, vos missions principales seront :Piloter une équipe de 30 à 60 consultants : gestion de carrière, développement des compétences, et accompagnement au quotidien.Garantir l’adéquation entre projets et talents : staffing, intégration, et suivi des performances.Contribuer à notre stratégie RH : conformité, communication, et gestion administrative.Participer à l’avant-vente : élaboration d’offres de service et présentations clients.Analyser les besoins, recruter, et intégrer les nouveaux talents.Développer les compétences, identifier les talents, et assurer un climat de travail motivant.Faire le suivi des KPI : marge brute, taux de satisfaction, attrition, formation, etc.Collaborer et être l'interface avec la Direction Technique, les RH, et les autres services.QualificationsDiplômé d'un  Bac+5 école d’ingénieur, université, ou équivalent.Expériences3 ans et plus en management d’équipe ou gestion de compétences (ESN, conseil, IT).Compétences requisesLeadership, sens de l’écoute, et capacité à négocier.Résistance au stress et diplomatie.Maîtrise des processus RH et des outils de suivi (KPI, reporting)Atouts supplémentairesExpérience dans un environnement technique (IT, cloud, ingénierie).Connaissance des enjeux QHSSE et sécurité de l’information.Informations complémentairesVous êtes rigoureux, créatif, curieux et vous aimez travailler en équipe et monter en compétence dans un environnement dynamique. Les métiers du service vous animent et vous souhaitez évoluer dans un environnement convivial, rejoignez-nous !",senegal.recrutement@alten.com,https://senjob.com/sn/jobseekers/responsable-de-compétences--rc-_e_161259.html
Agents distributeur,N/A,zone rurale,"Marketing, Communication | Services et Prestations aux Entreprises | Distribution, Commerce, Import-Export",2026-04-10,2026-04-30,"A propos de nous :SamaMbey SUARL est une entreprise sociale évoluant dans le domaine agricole.Nous intervenons dans de nombreuses régions du Sénégal. Sama Mbey vise à améliorer les conditions de vie des petits producteurs en milieu rural et veut les aider à sortir de la pauvreté.Chez SamaMbey les petits agriculteurs peuvent se financer s'ils ont le bon outil pour payer petit à petit en avance pour les intrants. Notre vision et objectif à travers notre Étoile polaire sont de travailler avec 1 million de petits producteurs à l’horizon 2026. En plus, SamaMbey Suarl s’engage dans le domaine du développement communautaire en menant  des actions de sensibilisation en nutrition, santé et hygiène.Intitulé du poste :Agent distributeurLocalisation :La prestation se déroulera en milieu rural, dans les zones d'intervention de Sama Mbey, réparties sur trois régions administratives du Sénégal : Matam  Bakel, Hamady Ounare, Matam, Thilogne Kolda    Dabo, Bourocco,Kounkane, Médina Yoro Foula, Tanaff, Vélingara Sédhiou / Ziguinchor Bignona, Bounkiling, Diattacounda, Marsassoum, Médina WandifaNombre de postes:36Type de contrat:Prestation de serviceRôles et responsabilitésLes agents distributeurs auront pour missions :1. VENTE & MOBILISATION- Développement commercial- Assister l'équipe de vente dans l'atteinte des objectifs de paquets finis- Réviser l'outil « Constitution de paquet 2026 » pour le maîtriser- Organiser les intrants selon l'outil de déchargement/chargement- Préparer des lots de paquets en avance- Assister à la formation distributeur organisée par le FC de la zone- Expliquer le contenu de chaque paquet au client- S'assurer que chaque client confirme avoir reçu 100 % des éléments inclus dans son paquet livré- Organiser les intrants restants pour assurer le chargement rapide du camion- Appuyer le chargement des intrants restants- Prospecter activement de nouveaux clients et fidéliser les producteurs existants2. LIVRAISON & SUIVI LOGISTIQUE- Gestion opérationnelle des livraisons- Être présent sur le site de livraison du début à la clôture.- Remplir les bordereaux de livraison.- Effectuer le décompte des paquets en début et fin de journée, et reporter les chiffres sur le bordereau.Cette liste n’est pas exhaustive, ces activités peuvent être adaptées aux besoins spécifiques de Sama Mbey, ainsi qu’aux objectifs et ressources disponibles.Compétences requises1. SAVOIR-FAIRE (Compétences techniques)- Expérience en vente et mobilisation communautaire en milieu rural.- Capacité à gérer des opérations logistiques (décomptes, bordereaux).- Connaissance du secteur agricole  (un atout).2. SAVOIR-ÊTRE (Qualités personnelles)- Force de persuasion : Capacité à convaincre les producteurs et motiver les VEs.- Rigueur et organisation : Respect strict des procédures de livraison et de reporting.- Autonomie et réactivité : Capacité à travailler en zone rurale avec des contraintes logistiques.- Esprit d’équipe : Collaboration étroite avec les VEs et le staff Sama Mbey.Autres compétences souhaitées:- Flexible : Sama Mbey est une organisation en pleine croissance qui se caractérise par des changements réguliers;- Humble : la personne est capable de partager ses connaissances tout en étant à l'écoute des défis des producteurs;- Efficace et proactif: la personne sait faire preuve d’autonomie et de créativité afin d’organiser ses activités;- Orienté vers l’action : la personne sait analyser les données et interpréter les chiffres afin de proposer et de développer des actions;- Ouvert aux retours constructifs.Le candidat idéal doit:- Avoir une expérience professionnelle antérieure dans le domaine du coaching/développement des compétences;- Être originaire de la zone pour laquelle il postule (myAgro recrute à travers plusieurs zones);Profil recherché- Minimum niveau Bac avec une expérience probante en agronomie, en développement communautaire ou dans un autre domaine connexe;- 1 an d’expérience prouvée et vérifiée en tant que agent de terrain;- Capacité à se focaliser sur l’atteinte des résultats;- Excellentes compétences en communication et en travail d’équipe,- Maîtrise orale et écrite, en français et wolof, mandingue, poular (selon la zone);- La connaissance d’autres langues locales est considérée un atout;- Maîtrise de l’outil informatique.Sama Mbey est un employeur garantissant l'égalité des chances. Nous célébrons la diversité et nous nous engageons à créer un espace inclusif permettant à tous les employés de se sentir valorisés pour leurs compétences, leurs expériences et leur point de vue unique. Sama Mbey offre des opportunités d'emploi égales à tous les employés et candidats sans distinction de race, de couleur, de religion, d'orientation sexuelle, de statut matrimonial/parental, d'origine nationale, d'âge, de handicap, d'opinion politique, de statut social, de statut d'ancien combattant, de génétique ou de toute autre base protégée par la loi applicable.",N/A,https://senjob.com/sn/jobseekers/agents-distributeur_e_161306.html
Responsable Comptes Fournisseurs,groupe-topinter,Dakar,"Comptabilité, Finances, Gestion | Distribution, Commerce, Import-Export",2026-04-16,2026-05-08,"Résumé : Le titulaire du poste est chargé du traitement des factures fournisseurs, de la préparation despaiements et du suivi des comptes fournisseurs. Il/elle veille à la conformité des opérations etparticipe aux clôtures mensuelles.-Missions principales :• Vérifier et enregistrer les factures fournisseurs dans l’ERP• Préparer et exécuter les paiements• Réconcilier les comptes fournisseurs et résoudre les écarts• Assurer la conformité documentaire pour les audits• Participer aux clôtures mensuelles (provisions, balances âgées)• Maintenir de bonnes relations avec les fournisseursProfil recherché :• Bac+2/3 en Comptabilité, Finance ou Gestion• Expérience de 2 ans minimum sur un poste similaire• Maîtrise d’Excel et d’un ERP• Rigueur, organisation et bon relationnel",grc@groupe-topinter.com,https://senjob.com/sn/jobseekers/responsable-comptes-fournisseurs_e_161392.html
Consultant Support FAI avec expertise N1,N/A,Dakar,"Informatique, Télécoms, Réseaux | Industrie Informatique, Télécoms, Téléservices",2026-03-31,2026-04-30,"Description de l'entrepriseImplantée à Dakar, ALTEN Sénégal est la filiale du groupe ALTEN, leader mondial de l’ingénierie et du conseil en technologies. Elle joue aujourd’hui un rôle clé dans l’accompagnement du développement professionnel des ingénieurs en Afrique de l’Ouest, et accompagne la stratégie de développement de ses clients dans les domaines de l’innovation et des systèmes d’information technologiques.Notre mission : répondre aux ambitions technologiques de nos clients — grands donneurs d’ordre internationaux — dans les secteurs de l’automobile, du ferroviaire, de l’IT, des télécommunications et des médias.Rejoindre ALTEN Sénégal, c’est intégrer un écosystème d’excellence et bénéficier :• D’un parcours de carrière personnalisé et évolutif• D’une politique ambitieuse de développement des compétences• D’un environnement de travail stimulant, collaboratif et porteur de sensDescription du posteAu sein de l’équipe de support technique clients, vous serez intégré à une chaîne de support de niveau 1 et serez en charge du support et de l’expertise sur l’ensemble des phases du traitement des incidents réseaux.Vous serez amené à :Traiter les plaintes unitaires « Grand Public » et « Entreprises » sur les périmètres d'accès ADSL , FTTH et les services associés (VOIP, IPTV.),Analyser, diagnostiquer et résoudre les incidents avec contraintes de temps,Assurer la satisfaction du client en apportant des réponses pertinentes et pointues dans des délais minimums,Assurer la communication client,Identifier, diagnostiquer les dysfonctionnements, incidents, interruptions de service et mettre en œuvre les mesures correctives,Contrôler de la bonne complétude et avancée des tickets de niveau 1,Assurer un support à l'équipe service clients et aux équipes terrains de premier niveau,Accompagner le client final de bout en bout jusqu’au rétablissement du service,Qualifier les tickets avant escalade sur les services Expert niveau 3 (analyse et diagnostic),Faire le suivi des incidents : Exploitation de la base d'incidents : relances, consolidation, analyse de tendance. Demandes d'actions préventives de fond,Accueillir des demandes des utilisateurs suite à des dysfonctionnements : prise en compte des appels des clientsQualificationsDiplômé d'un Bac +2/+3 avec une spécialisation en réseaux et télécom ou en Informatique.Expérience : Expérience Support client/gestion relation client d’au moins un an exigéUne expérience dans le secteur des Télécoms (ex : Fournisseurs d’Accès Internet) serait un plusCompétences linguistiques :Français : niveau de communication avancé ( B2, C1)Informations complémentairesVous êtes rigoureux, créatif, curieux et vous aimez travailler en équipe et monter en compétence dans un environnement dynamique. Les métiers du service vous animent et vous souhaitez évoluer dans un environnement convivial, rejoignez-nous !",N/A,https://senjob.com/sn/jobseekers/consultant-support-fai-avec-expertise-n1_e_161131.html
Administrateur Ressources Humaines DESK,N/A,Dakar,"Ressources Humaines, Formation | Service public d'état, Institutions, Administratio",2026-04-23,2026-05-08,"Mission principaleAssurer la fiabilité et la fluidité du parcours administratif et opérationnel des expatriés du Desk, en garantissant la qualité des données RH, le respect des échéances clés et une expérience claire et sécurisée pour les collaborateurs, dans un environnement multiculturel exigeant.Activités principalesGestion et sécurisation contractuelle administrative•	Constituer le dossier du personnel expatrié et vérifier leur complétude dès la validation du recrutement en centralisant une liste de documents préétablie; communiquer aux salarié.e.s les informations nécessaires à la création du contrat et à  la souscription  à l’assurance santé•	Élaborer les contrats de travail, les avenants en conformité avec les éléments validés (postes, conditions, dates) et les faire signer dans les 72 heures avant la date de début du contrat ou avant la fin du contrat en cours, les documents de rupture de contrat à l’amiable etc.  et les faire signer avant la date de rupture de contrat•	Assurer la signature des documents contractuels dans les délais requis (avant prise de fonction ou échéance contractuelle)•	Contrôler la cohérence et la fiabilité des informations contractuelles et administratives•	Assurer une révision fiable des fiches de salaire en fin d’année dands le respect des délais et procédures en collaboration avec sa/son Référent.e RH.•	Assurer le suivi des preuves de vie (s’assurer que chaque expatrié a transmis sa preuve de vie au début de sa mission)•	Procéder aux formalités liées à la souscription d’assurance santé pour chaque personnel International terrain dès la signature de son contrat et s’assurer que l’expatrié a reçu d’ALLIANZ toutes les informations nécessaires liées à sa prise en charge santé (carte d’assurance etc.)•	Identifier toute incohérence ou anomalie dans le processus de déploiement de l’expatrié et alerter le/le Référent(e) RH dans les meilleurs délais•	Organiser et coordonner les briefings et débriefings des expatriés (au siège ou à distance)•	Tenir informé les Coordinateurs finances/RH, les Chefs de Mission, les Coordinateurs logistiques les assistants RH sur le terrain de l’arrivée des nouveaux expatriésOrganisation et suivi des déploiements et mouvements•	Organiser les départs en mission (visa, transport, hébergement, documents de mission) dans le respect des délais•	Assurer le suivi des mouvements du personnel (prise de poste, renouvellement, fin de mission)•	Préparer et transmettre les  documents nécessaires aux déplacements et à la prise de fonction•	Préparer et faire valider les engagements de dépenses liés aux frais financiers engendrés par les départs en mission  des expatriés et à leur fin de mission•	Anticiper les échéances de déploiement et alerter le/la Référent (e) RH en cas de risque de retard ou de blocage•	Assurer la mise à jour des outils de suivi des mouvements du personnel•	Coordonner avec les acteurs concernés (terrain, logistique, desk) pour garantir la fluidité des déploiementsCoordination des fins de missions et SDTC•	Assurer la préparation des fins de mission en coordination avec les acteurs concernés (terrain, desk, paie) dès qu’elle a l’information du non renouvellement de contrat d’un expatrié•	Vérifier la disponibilité de l’ensemble des éléments nécessaires à l’établissement du solde de tout compte•	Établir et transmettre les documents de fin de contrat dans les délais requis•	S’assurer de la complétude et de la fiabilité des informations transmises à la paie•	Suivre le traitement et le paiement des soldes de tout compte en lien avec la paie•	Identifier les retards, incohérences ou blocages dans le traitement des SDTC des expatriés et alerter le /la  Référent(e) RH•	Assurer la désactivation  ALLIANZ de l’expatrié un mois après sa fin de missionFiabilisation des données RH, gestion de l’interface avec le service paie et production des reportings pour le suivi de l’activité.•	Collecter, centraliser, et vérifier les données RH nécessaires à la paie (contrats, mouvements, etc.)•	Contrôler la complétude, la cohérence et la fiabilité des informations avant leur transmission•	Identifier les écarts ou incohérences et effectuer les relances nécessaires auprès des interlocuteurs concernés (terrain, desk)•	Assurer une transmission des données dans les délais compatibles avec le calendrier de paie•	Coordonner avec la gestionnaire de paie pour sécuriser la prise en compte des éléments transmis•	Suivre les dossiers jusqu’à leur traitement effectif et gérer les corrections si nécessaire•	Alerter le / la Référent(e) RH en cas de dysfonctionnement ou de risque impactant la paieAccompagnement et information des expatrié.e.s•	Fournir aux expatrié.e.s une information claire, cohérente et fiable à chaque étape de leur parcours (départ, mission, fin de mission)•	Répondre aux demandes ou orienter efficacement vers les interlocuteurs appropriés•	S’assurer que les informations transmises sont comprises et adaptées à un environnement multiculturel•	Anticiper les besoins d’information et limiter les zones d’incertitude pour les expatriés•	Veiller à ne laisser aucune demande sans réponse, même en cas de dépendance à d’autres services•	Contribuer à une expérience fluide et sécurisante pour les expatriésProfil et expérience souhaités•	Diplôme Bac à Bac +3 en Gestion, Administration, Finances, RH, ou formation jugée équivalente.•	Minimum 2 années d’expérience dans un environnement opérationnel exigeant .•	Expérience en gestion de mobilité internationale, coordination RH ou logistique de personnel•	Expérience dans un environnement à forte contrainte de délais et de volumeCompétences techniques•	Bonne maîtrise des outils informatiques (G-Suite e).•	Bonne compréhension des processus RH (contrats, mobilité, fins de missions)•	Capacité à gérer et fiabiliser des données RH complexes•	Connaissance des enjeux de paie et interactions avec un service paie•	Connaissance du droit du travail français est un atoutCompétences comportementale•	Rigueur : capacité à traiter des données avec précision et fiabilité•	Sens du service : attention portée à la qualité de l’expérience des expatriés•	Assertivité : capacité à relancer, coordonner et faire avancer les dossiers sans autorité hiérarchique•	Organisation et gestion des priorités dans un environnement à forte charge•	Capacité à évoluer dans un environnement multiculturel•	Proactivité dans l’identification et la résolution des problèmesConnaissances en langues : La maîtrise du français et de l’anglais (lu, écrit, parlé) est indispensableConditions•	Durée du contrat : Contrat à durée indéterminée de droit sénégalais•	Prise de poste : Dès que possible•	Salaire : 611 293 FCFA•	Contribution frais de transport à 72 032 FCFA•	2,75 Jours de congés payés par Mois ;•	Couverture santé complémentaire, prises en charge par ALIMA pour l’employé et ses ayants droit;•	Participation aux frais de scolarité pour les enfants de 2 à 18 ans selon la politique extra contractuelle d’ALIMA en vigueur.",N/A,https://senjob.com/sn/jobseekers/administrateur-ressources-humaines-desk_e_161529.html
